Id,Label
#MercedesMaybach,#MercedesMaybach
#MercedesAMG,#MercedesAMG
#sialkot,#sialkot
#insurance,#insurance
#MotorwayRape,#MotorwayRape
#traffic,#traffic
#Police,#Police
#Violence,#Violence
#bitcoin,#bitcoin
#abused,#abused
#rapper,#rapper
#Balochistan,#Balochistan
#RuleofLaw,#RuleofLaw
#Viral,#Viral
#viralvideo,#viralvideo
#petrolPrice,#petrolPrice
#DieselPrice,#DieselPrice
#Mansehra,#Mansehra
#RoadSafetyWorldSeries2021,#RoadSafetyWorldSeries2021
#BeautifulBeautiful,#BeautifulBeautiful
#BeautifulPakistan,#BeautifulPakistan
#Kashmir,#Kashmir
#kashmirHighWay,#kashmirHighWay
#supremecourtofindia,#supremecourtofindia
#claims,#claims
#motoraccident,#motoraccident
#roadsafety,#roadsafety
#abdelivers,#abdelivers
#Law,#Law
#NewsUpdate,#NewsUpdate
#G700,#G700
#Pakistani,#Pakistani
#abdelivered,#abdelivered
#zaherjaffer,#zaherjaffer
#shafqatbagga,#shafqatbagga
#Corona,#Corona
#Kaptaan,#Kaptaan
#Vaccination,#Vaccination
#19thMarchLahoreDharna,#19thMarchLahoreDharna
#Sinopharm,#Sinopharm
#PakistanMovingForward,#PakistanMovingForward
#breakingnews,#breakingnews
#fitna,#fitna
#GIDLE,#GIDLE
#Dubai,#Dubai
#ATEEZ,#ATEEZ
#JusticeServed,#JusticeServed
#publiclyhangrapists,#publiclyhangrapists
#Peaches,#Peaches
#UCLdraw,#UCLdraw
#WhatsApp,#WhatsApp
#motherlove,#motherlove
#Quran,#Quran
#GalaxyA52,#GalaxyA52
#kaptaan,#kaptaan
#visiongraphic,#visiongraphic
#ARYNews,#ARYNews
#death_for_rapists,#death_for_rapists
#justiceserved,#justiceserved
#zohaibkhan,#zohaibkhan
#dajjal,#dajjal
#zkwrites,#zkwrites
#Punjab_Police,#Punjab_Police
#mullahs,#mullahs
#abidmalhi,#abidmalhi
#Mercedes,#Mercedes
#JusticeForHaneefa,#JusticeForHaneefa
#ViratKohli,#ViratKohli
#SaturdayMotivation,#SaturdayMotivation
#RRRMovie,#RRRMovie
#pordenoneday,#pordenoneday
