full_text,username,screen_name,location,is_verified,quote_count,favorite_count,retweet_count,reply_count,created_at,tweet_id
@RealCandaceO @hilariabaldwin Transgender women ARE women. Your hate speech has consequences. #TransLivesMatter,lolita maeweathers,lolitamaeweathe,"Bronx, NY",False,0,0,0,0,Wed Dec 30 17:46:39 +0000 2020,1.34434e+18
Check out Power Crystal! Available via @Teespring: https://t.co/iNSLS522sw and link in bio! #powercrystal #crystallove #powercrystals #spiritualawakening #mindfulness #quartz #lawofattraction #crystals #clearquartz #pagan #healing #crystalhealing  #crystal #translivesmatter #PMA,You're neat.¹³¹²,___ENDPOINT,,False,0,0,0,0,Wed Dec 30 17:42:07 +0000 2020,1.34434e+18
"RT @PlanBianca: We need to actively support our #trans brothers and sisters, stand up against the injustices they face, and bring light to the atrocities that can occur from psychological harm. #TransLivesMatter https://t.co/o0viigD0ip",Mattie 🏳️‍🌈 ♍,Matdredalia,Endless worlds in my head. ,False,0,0,0,0,Wed Dec 30 17:33:23 +0000 2020,1.34434e+18
"We need to actively support our #trans brothers and sisters, stand up against the injustices they face, and bring light to the atrocities that can occur from psychological harm. #TransLivesMatter https://t.co/o0viigD0ip",Bianca,PlanBianca,"San Francisco, CA",False,0,0,2,3,Wed Dec 30 17:11:03 +0000 2020,1.34433e+18
"RT @SIKEYJPEG: BREAK THE RULE OF CONFORMITY
AND  MOVE   F O R W A R D .

#TransAwareness #GenderAwareness #TransRightsAreHumanRights 
#TransLivesMatter #ArtPH https://t.co/RbFFYRPs6C",SIKEY,SIKEYJPEG,ph,False,0,0,0,0,Wed Dec 30 16:38:02 +0000 2020,1.34432e+18
"@HRC Mourns Courtney “Eshay” Key, Black Trans Woman Killed in Chicago.... 

#Pride #WontBeErased #StopTheHate #EqualityAct #NoTransBan 
#TransIsBeautiful #TransLivesMatter #DefyTheName #LoveIsLove
https://t.co/BHvdZQHW8B",Jhawn Paul,PinkSheepNews,"Collinsport, Maine",False,0,0,0,0,Wed Dec 30 16:00:21 +0000 2020,1.34431e+18
This earth is full of so many cruel ass holes. I just got called a transgender faggot because I have LGBT as my clan tag &amp; LGBT LIVES MATTER as my emblem on call of duty #SMH #LGBTQ #LGBT #TransLivesMatter,The Lone Leagle aka The Truth Teller,SlossMasterMind,African in America ,False,0,0,0,0,Wed Dec 30 15:45:08 +0000 2020,1.34431e+18
"CALIFORNIA—As of January 1st, incarcerated transgender individuals will be able to ask for a transfer to a state prison or detention center that matches with their gender identity.
#TransLivesMatter #lgbtqia #transtwitter 
https://t.co/jqzuBXO4B0",translashmedia,translashmedia,"New York, USA",False,0,0,0,0,Wed Dec 30 15:43:00 +0000 2020,1.34431e+18
RT @Hottiie_XO: TRANS IS BEAUTIFUL!! 💓   #TransGirls #PornHub #Transgender #TransLivesMatter https://t.co/neH4vDkhkJ,badazz Mike,badazzmike1130,"Texas, USA",False,0,0,0,0,Wed Dec 30 15:27:52 +0000 2020,1.3443e+18
"Not assuming people’s #gender is a fundamental part of ensuring we are being inclusive of #trans, #GenderDiverse and #NonBinary people. It also ensures that being  #cisgender is not seen as the default. #transgender #TransLivesMatter #TransIsBeautiful",Stevie Lane,StevieMLane,Wadjuk Noongar land (Perth),False,0,0,0,1,Wed Dec 30 15:12:48 +0000 2020,1.3443e+18
